baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000187634	299.452022930528	-0.0201012435407722	0.237177910048234	-0.0847517525417281	0.932458751358022	0.992607773459102
ENSG00000188976	975.300401536115	-0.0894018495896276	0.0989303755579582	-0.903684526470352	0.366162706307797	0.765730250751057
ENSG00000187961	90.2265037817589	-0.167480587978837	0.236767664285462	-0.707362588908727	0.479341179405376	0.862182741952098
ENSG00000187583	0.542563624186281	-1.36376239188861	1.75225017225654	-0.778292057539001	0.436396856729346	0.830427014037806
ENSG00000187642	0.934757638183006	0.93085844921499	1.39516449041831	0.667203369644173	0.504642239056227	0.879852873236093
ENSG00000188290	266.985340656579	0.0005380888749411	0.183082975571261	0.00293904374921884	0.997654985745005	0.999541483188234
ENSG00000187608	20.7290058473593	-0.649847847737971	0.32550056072932	-1.99645692247631	0.0458842101992554	0.198884209058623
ENSG00000188157	3190.85351051818	-0.189850168003659	0.157162166168677	-1.20798900035457	0.2270514933806	0.593692800693012
ENSG00000131591	47.5420190053631	0.15276660540372	0.231944509752633	0.658634280960752	0.51013064379155	0.883645517232265
ENSG00000162571	0.110898554568594	-1.05878039013353	3.83055332283852	-0.276404033803907	0.782237758835483	0.992607773459102
ENSG00000186891	1.84888656158131	1.28967860853707	1.07191107272069	1.20315821093596	0.228915102741427	0.595424361262417
ENSG00000186827	0.102301672646883	-0.725550369387062	3.83412641111079	-0.189234858632859	0.849908747968987	0.992607773459102
ENSG00000078808	1222.67008098965	-0.064702475281771	0.100826979398702	-0.641717878167478	0.521056378924088	0.892961807951227
ENSG00000176022	269.731643467234	-0.350241197770347	0.192569048895943	-1.81878240443304	0.06894463387412	0.261821915670321
ENSG00000184163	2.26495351678755	0.0576935712094896	0.821693318859908	0.070213022164448	0.944024109717936	0.992607773459102
ENSG00000160087	522.414781221967	0.0247862207034058	0.111400671438373	0.222496151803875	0.823927668616822	0.992607773459102
ENSG00000162572	23.3738120258437	0.262278362502322	0.506543360985175	0.517780673291655	0.604611304212746	0.937172109273899
ENSG00000131584	1152.77971398219	-0.266646968502364	0.137212748182457	-1.94331045791601	0.0519786586927744	0.213090671023367
ENSG00000169972	89.2986356234972	-0.132722863814372	0.167637541901298	-0.791725184639832	0.428520934217316	0.822945809998581
ENSG00000127054	933.357146057645	-0.105657055050747	0.0731271905526784	-1.44483952210135	0.148502966973189	0.45481806689744
ENSG00000224051	114.600332058871	0.0559309697646831	0.164595690659739	0.339808226694748	0.7340009521876	0.988157218408398
ENSG00000169962	4.45251785931067	-0.760677629621502	0.693024433057179	-1.09762021847611	0.272370360421689	0.653560908929781
ENSG00000107404	318.521926860846	-0.158096678198561	0.205087208289866	-0.770875373051599	0.440780805601738	0.833224497656741
ENSG00000162576	103.741954402904	-0.0723782463129412	0.344510446042327	-0.210090135566016	0.833597324355973	0.992607773459102
ENSG00000175756	789.935080336189	-0.0928653859295268	0.128079406699488	-0.725061025207716	0.468414593368297	0.85521802132253
ENSG00000221978	651.629035734766	-0.0445102451203554	0.140418173983637	-0.316983506177357	0.751256117563766	0.992607773459102
ENSG00000242485	731.259453750951	-0.120790403579528	0.0761920084095577	-1.58534216515515	0.112888613811445	0.376405842243801
ENSG00000235098	36.6545859514915	0.265116115619846	0.449538333940851	0.589751964633853	0.555356951130634	0.912803048770932
ENSG00000205116	0.259749255970481	-0.0444081613661366	3.82975889489427	-0.0115955501599175	0.990748296879558	0.998944285769332
ENSG00000179403	170.986479798929	-0.0752235951271609	0.206130551340317	-0.364931809661579	0.715162308717681	0.982861739446682
ENSG00000215915	2.43742565509323	-0.662727922649304	0.872938101526393	-0.759192343065881	0.447737505762499	0.840222115093075
ENSG00000160072	55.124592760163	-0.435999089014848	0.355962306815902	-1.22484622856526	0.220633163382348	0.583534548859521
ENSG00000197785	120.501615743935	-0.213963939829729	0.158947955447076	-1.34612577574785	0.178261957223732	0.507644001032503
ENSG00000205090	209.227589116507	-0.219836417176463	0.162450476428804	-1.35325190796106	0.175975167374286	0.505088197771906
ENSG00000160075	1017.70853547005	0.00276117250479864	0.105442017620321	0.0261866433051495	0.979108469328895	0.995927704314938
ENSG00000228594	58.4767562109729	0.223715448504106	0.405575919353726	0.551599436328936	0.581222822706442	0.92707045622942
ENSG00000197530	299.437582234162	-0.219750321294471	0.217581037425941	-1.0099700042531	0.312509661288394	0.707615600160862
ENSG00000189409	1.50206364072723	-0.0505604522191777	1.38446406772707	-0.0365198732114333	0.970867832746787	0.993510080550708
ENSG00000248333	204.124078407976	-0.0711013490065841	0.0985185518879517	-0.721705177796868	0.470475758019897	0.855647620963303
ENSG00000189339	501.491449280321	0.0444503587057614	0.0910756936338945	0.488059513270825	0.625507687413991	0.945416931777034
ENSG00000008128	71.2358970519062	0.0603381820241541	0.185507334066467	0.325260358722718	0.744984030224077	0.992607773459102
ENSG00000215790	58.3583463074286	-0.274525142284018	0.241197256901178	-1.13817688397881	0.255046629084351	0.634429506083004
ENSG00000008130	320.965722615943	-0.127794138939748	0.117857633264453	-1.08430939430965	0.278227641396398	0.662854529889455
ENSG00000078369	9832.73453592478	0.0229699536457905	0.0752891342772411	0.305089889348535	0.760297691480481	0.992607773459102
ENSG00000169885	0.144340810651742	-0.573629200034483	3.82799793910369	-0.149850968877166	0.880882195968554	0.992607773459102
ENSG00000178821	21.2946927023132	0.390822418064636	0.277281616827563	1.40947828614142	0.15869378968185	0.472460935192739
ENSG00000142609	2.72987415329378	0.397134427169021	0.916823291302071	0.433163545185475	0.664895960719775	0.964959859493054
