baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000187634 299.452022930528 0.0204979878251714 0.264904044024308 0.0773789162059392 0.94363816477843 0.997583225344129
ENSG00000188976 975.300401536115 -0.168043773194186 0.186502048646745 -0.90102910082494 0.410375366511341 0.981853908582128
ENSG00000188290 266.985340656579 -0.0589045237184796 0.293516093206256 -0.200685839999536 0.854516813462412 0.997583225344129
ENSG00000188157 3190.85351051818 -0.395993035617041 0.338004317979369 -1.17156206164565 0.284435659620594 0.972640957063942
ENSG00000078808 1222.67008098965 -0.135980708633185 0.196970656803898 -0.690360233547714 0.528201540057769 0.991823643228143
ENSG00000176022 269.731643467234 -0.658089972096566 0.320053936003032 -2.05618459286916 0.0602921178666105 0.822289302510797
ENSG00000160087 522.414781221967 0.0596574316271865 0.218386223630826 0.27317396965495 0.802906114816555 0.997583225344129
ENSG00000131584 1152.77971398219 -0.507963573260147 0.211694606782015 -2.3995111683842 0.0283553476561049 0.678610590764946
ENSG00000127054 933.357146057645 -0.214272835700448 0.147009583637537 -1.45754331383425 0.182959643281445 0.937139482100145
ENSG00000107404 318.521926860846 -0.267941502623293 0.3333176613498 -0.803862302220171 0.4626709060274 0.986608542562518
ENSG00000175756 789.935080336189 -0.184143867831157 0.216440191786348 -0.85078407254845 0.436966206123272 0.982436923170584
ENSG00000221978 651.629035734766 -0.0283186100719447 0.19377563099778 -0.146141235232356 0.893779587267846 0.997583225344129
ENSG00000242485 731.259453750951 -0.289471828615144 0.139029284483393 -2.08209248641944 0.0571290315173889 0.816662732106617
ENSG00000179403 170.986479798929 -0.0836936848773175 0.261015666538127 -0.320646212495035 0.769551761893684 0.997583225344129
ENSG00000205090 209.227589116507 -0.480986699680114 0.297477377578251 -1.61688496649998 0.139600243381103 0.917029038927503
ENSG00000160075 1017.70853547005 -0.00246745981274264 0.205622392649139 -0.011999956721411 0.991252274966544 0.999341966696823
ENSG00000197530 299.437582234162 -0.412880612258143 0.468462111182414 -0.881353267217319 0.420671825338434 0.981853908582128
ENSG00000248333 204.124078407976 -0.0907679585888909 0.196528274584951 -0.461856996305413 0.673039798725013 0.997174124122058
ENSG00000189339 501.491449280321 0.115623871863088 0.17413722055419 0.663981379139489 0.544081559249326 0.992579815387314
ENSG00000008130 320.965722615943 -0.19508917759099 0.183619103925396 -1.0624666683389 0.331681695667998 0.978291052416341
ENSG00000078369 9832.73453592478 0.0178998074896456 0.124481260120322 0.14379519834828 0.895474898337064 0.997583225344129
ENSG00000067606 877.034573148795 0.132905566242825 0.199133765268306 0.667418536799888 0.541999020181621 0.992579815387314
ENSG00000162585 245.706920432469 -0.261078297056768 0.310230232908566 -0.841563037261153 0.441951758327198 0.984074876829095
ENSG00000157933 537.595780319481 -0.145967210067201 0.248938320541317 -0.58635894124213 0.592143744452161 0.997174124122058
ENSG00000157916 626.691667952953 -0.034366114141619 0.122826314015869 -0.279794394360632 0.798231427447324 0.997583225344129
ENSG00000157881 496.332446654207 -0.0530250426999857 0.17133457267222 -0.309482446379505 0.777359755109071 0.997583225344129
ENSG00000157870 312.056282846972 -0.324427580560586 0.230562835001866 -1.40711134367323 0.198575788571674 0.943438473124263
ENSG00000158109 245.459371763234 0.0732606202682093 0.180453365550446 0.405980902848439 0.710691114886612 0.997174124122058
ENSG00000116213 285.691051485916 -0.0397422378202803 0.200058192621228 -0.198653388294498 0.855974007924694 0.997583225344129
ENSG00000130764 986.107763452463 -0.0327125082919538 0.170134087803839 -0.192274862223205 0.860550348075143 0.997583225344129
ENSG00000116198 468.787868107719 0.0205525803923279 0.20583176349003 0.0998513545423876 0.927309776230208 0.997583225344129
ENSG00000198912 232.55930726632 0.19710904528917 0.208669640443981 0.944598576341944 0.388114988712571 0.981853908582128
ENSG00000131697 188.556239312511 0.265314081465037 0.259015392204216 1.02431781836291 0.349336480275756 0.978291052416341
ENSG00000069424 191.860730215892 -0.293135805639773 0.20805550536213 -1.40893078089693 0.197995970016283 0.943271327039613
ENSG00000116254 542.878134068381 -0.232223481246688 0.203826339197626 -1.13932027705962 0.297898709602137 0.97598079539546
ENSG00000116251 570.915995598182 -0.115213628438149 0.473512215969962 -0.243317119500582 0.824073464231314 0.997583225344129
ENSG00000116237 360.794880121085 0.417552719316831 0.164309919378358 2.54125083194356 0.0202417460686117 0.609590334491809
ENSG00000158292 216.026143038824 0.267385922768925 0.730879330420191 0.365841407247351 0.738187707841264 0.997583225344129
ENSG00000097021 2309.48201505633 0.0188034933503684 0.178440257923712 0.105376968006891 0.923299304206212 0.997583225344129
ENSG00000171680 298.514303828536 -0.435886376119371 0.240502928335257 -1.81239529654189 0.0977398295286209 0.873081040476703
ENSG00000162408 516.657061236076 -0.0120409159627397 0.170419095547025 -0.0706547345770719 0.948528851250054 0.997583225344129
ENSG00000204859 260.195313793312 -0.144884132659989 0.224134194234156 -0.646416907313242 0.554785414059239 0.995618086214979
ENSG00000116273 267.701836967848 0.00744863710702998 0.189823710232397 0.0392397614497724 0.971400563626214 0.997583225344129
ENSG00000041988 150.966397596428 -0.263156673124333 0.237563906711583 -1.10773002838273 0.311496273481847 0.978291052416341
ENSG00000007923 1000.31710450457 0.0597549974166118 0.147183615340367 0.405989466140144 0.710685287316875 0.997174124122058
ENSG00000171735 1643.04465080041 -0.120139048516464 0.141194548136436 -0.850875972919108 0.436916681751863 0.982436923170584
ENSG00000116288 2779.76011405725 -0.0740552564422959 0.137859647763479 -0.537178628001067 0.623569305303404 0.997174124122058
ENSG00000116285 504.161310910708 0.303811490595436 0.189687289272158 1.60164390435004 0.143369940554984 0.921504705031036
ENSG00000162426 437.384469839137 -0.0341707917004611 0.180077500839907 -0.189756030270765 0.862358809783035 0.997583225344129
